order_id,customer_id,pizza_id,quantity,date,time,hour_of_day
OR11,7,hawaiian_m,1,01/01/2015,11:38:36,11
OR22,733,classic_dlx_m,1,01/01/2015,11:57:40,11
OR32,136,five_cheese_l,1,01/01/2015,11:57:40,11
OR42,833,ital_supr_l,1,01/01/2015,11:57:40,11
OR52,488,mexicana_m,1,01/01/2015,11:57:40,11
OR62,144,thai_ckn_l,1,01/01/2015,11:57:40,11
OR73,20,ital_supr_m,1,01/01/2015,12:12:28,12
OR83,175,prsc_argla_l,1,01/01/2015,12:12:28,12
OR94,685,ital_supr_m,1,01/01/2015,12:16:31,12
OR105,174,ital_supr_m,1,01/01/2015,12:21:30,12
OR116,174,bbq_ckn_s,1,01/01/2015,12:29:36,12
OR126,967,the_greek_s,1,01/01/2015,12:29:36,12
OR137,113,spinach_supr_s,1,01/01/2015,12:50:37,12
OR148,869,spinach_supr_s,1,01/01/2015,12:51:37,12
OR159,343,classic_dlx_s,1,01/01/2015,12:52:01,12
OR169,5,green_garden_s,1,01/01/2015,12:52:01,12
OR179,156,ital_cpcllo_l,1,01/01/2015,12:52:01,12
OR189,503,ital_supr_l,1,01/01/2015,12:52:01,12
OR199,416,ital_supr_s,1,01/01/2015,12:52:01,12
OR209,442,mexicana_s,1,01/01/2015,12:52:01,12
OR219,974,spicy_ital_l,1,01/01/2015,12:52:01,12
OR229,505,spin_pesto_l,1,01/01/2015,12:52:01,12
OR239,27,veggie_veg_s,1,01/01/2015,12:52:01,12
OR2410,106,mexicana_l,1,01/01/2015,13:00:15,13
OR2510,363,southw_ckn_l,1,01/01/2015,13:00:15,13
OR2611,395,bbq_ckn_l,1,01/01/2015,13:02:59,13
OR2711,140,cali_ckn_l,1,01/01/2015,13:02:59,13
OR2811,82,cali_ckn_m,1,01/01/2015,13:02:59,13
OR2911,352,pepperoni_l,1,01/01/2015,13:02:59,13
OR3012,199,cali_ckn_l,1,01/01/2015,13:04:41,13
OR3112,431,cali_ckn_s,1,01/01/2015,13:04:41,13
OR3212,514,ckn_pesto_l,1,01/01/2015,13:04:41,13
OR3312,530,ital_supr_m,1,01/01/2015,13:04:41,13
OR3413,218,mexicana_l,1,01/01/2015,13:11:55,13
OR3514,729,the_greek_s,51,01/01/2015,13:14:19,13
OR3615,861,big_meat_s,1,01/01/2015,13:33:00,13
OR3715,990,five_cheese_l,1,01/01/2015,13:33:00,13
OR3815,328,soppressata_l,1,01/01/2015,13:33:00,13
OR3915,405,the_greek_s,1,01/01/2015,13:33:00,13
OR4016,163,four_cheese_l,1,01/01/2015,13:34:07,13
OR4116,737,napolitana_s,1,01/01/2015,13:34:07,13
OR4216,438,thai_ckn_l,1,01/01/2015,13:34:07,13
OR4317,958,bbq_ckn_l,1,01/01/2015,13:53:00,13
OR4417,300,calabrese_m,1,01/01/2015,13:53:00,13
OR4517,41,five_cheese_l,1,01/01/2015,13:53:00,13
OR4617,722,four_cheese_m,1,01/01/2015,13:53:00,13
OR4717,880,ital_supr_m,1,01/01/2015,13:53:00,13
OR4817,944,ital_veggie_s,1,01/01/2015,13:53:00,13
OR4917,524,mediterraneo_m,2,01/01/2015,13:53:00,13
OR5017,156,mexicana_l,1,01/01/2015,13:53:00,13
OR5117,295,peppr_salami_s,1,01/01/2015,13:53:00,13
OR5217,577,spinach_fet_l,1,01/01/2015,13:53:00,13
OR5318,597,napolitana_l,1,01/01/2015,13:57:08,13
OR5419,300,ital_cpcllo_l,1,01/01/2015,13:59:09,13
OR5519,219,sicilian_l,1,01/01/2015,13:59:09,13
OR5620,688,big_meat_s,1,01/01/2015,14:03:08,14
OR5720,970,five_cheese_l,1,01/01/2015,14:03:08,14
OR5821,403,ital_cpcllo_l,1,01/01/2015,14:14:29,14
OR5922,197,five_cheese_l,1,01/01/2015,14:16:26,14
OR6022,628,ital_cpcllo_m,1,01/01/2015,14:16:26,14
OR6122,630,southw_ckn_l,1,01/01/2015,14:16:26,14
OR6223,869,southw_ckn_s,1,01/01/2015,14:19:03,14
OR6324,943,bbq_ckn_m,1,01/01/2015,14:23:01,14
OR6424,121,ital_cpcllo_m,1,01/01/2015,14:23:01,14
OR6524,742,pepperoni_m,1,01/01/2015,14:23:01,14
OR6624,591,prsc_argla_s,1,01/01/2015,14:23:01,14
OR6725,688,sicilian_m,1,01/01/2015,14:44:44,14
OR6825,653,thai_ckn_l,1,01/01/2015,14:44:44,14
OR6926,628,classic_dlx_s,1,01/01/2015,14:54:26,14
OR7026,896,veggie_veg_l,1,01/01/2015,14:54:26,14
OR7127,569,bbq_ckn_l,1,01/01/2015,15:11:17,15
OR7227,507,classic_dlx_m,1,01/01/2015,15:11:17,15
OR7327,898,spinach_fet_l,1,01/01/2015,15:11:17,15
OR7428,893,ckn_alfredo_s,1,01/01/2015,15:35:46,15
OR7529,719,green_garden_s,1,01/01/2015,15:41:01,15
OR7630,41,thai_ckn_l,1,01/01/2015,15:41:25,15
OR7731,4,mexicana_m,1,01/01/2015,15:50:18,15
OR7831,145,pepperoni_s,321,01/01/2015,15:50:18,15
OR7932,589,big_meat_s,1,01/01/2015,15:53:18,15
OR8032,793,green_garden_l,1,01/01/2015,15:53:18,15
OR8132,677,ital_cpcllo_l,1,01/01/2015,15:53:18,15
OR8232,183,ital_supr_m,1,01/01/2015,15:53:18,15
OR8333,352,bbq_ckn_l,1,01/01/2015,15:54:08,15
OR8433,426,green_garden_s,1,01/01/2015,15:54:08,15
OR8534,313,the_greek_s,1,01/01/2015,16:21:21,16
OR8635,372,green_garden_m,1,01/01/2015,16:32:04,16
OR8735,186,pep_msh_pep_l,1,01/01/2015,16:32:04,16
OR8835,574,pepperoni_m,1,01/01/2015,16:32:04,16
OR8935,495,thai_ckn_l,1,01/01/2015,16:32:04,16
OR9036,939,bbq_ckn_m,1,01/01/2015,16:54:09,16
OR9136,781,classic_dlx_m,1,01/01/2015,16:54:09,16
OR9237,698,ital_supr_l,1,01/01/2015,16:56:09,16
OR9337,562,mexicana_l,1,01/01/2015,16:56:09,16
OR9438,467,hawaiian_s,1,01/01/2015,17:03:00,17
OR9538,532,ital_cpcllo_l,1,01/01/2015,17:03:00,17
OR9639,746,ital_supr_l,1,01/01/2015,17:07:23,17
OR9740,937,four_cheese_l,1,01/01/2015,17:14:36,17
OR9840,676,southw_ckn_s,1,01/01/2015,17:14:36,17
OR9941,748,four_cheese_m,1,01/01/2015,17:15:20,17
OR10041,452,green_garden_s,1,01/01/2015,17:15:20,17
OR10142,963,big_meat_s,1,01/01/2015,17:28:09,17
OR10242,955,five_cheese_l,1,01/01/2015,17:28:09,17
OR10342,929,mexicana_l,1,01/01/2015,17:28:09,17
OR10442,129,peppr_salami_m,1,01/01/2015,17:28:09,17
OR10543,798,ckn_alfredo_m,1,01/01/2015,17:38:34,17
OR10643,494,ital_supr_m,1,01/01/2015,17:38:34,17
OR10743,517,peppr_salami_l,1,01/01/2015,17:38:34,17
OR10844,497,spin_pesto_s,1,01/01/2015,17:54:20,17
OR10945,674,four_cheese_l,1,01/01/2015,17:55:48,17
OR11045,937,hawaiian_s,1,01/01/2015,17:55:48,17
OR11145,681,thai_ckn_m,1,01/01/2015,17:55:48,17
OR11246,16,ckn_pesto_l,1,01/01/2015,18:25:51,18
OR11346,230,classic_dlx_l,1,01/01/2015,18:25:51,18
OR11446,997,thai_ckn_m,1,01/01/2015,18:25:51,18
OR11547,455,southw_ckn_l,1,01/01/2015,18:26:34,18
OR11647,488,veggie_veg_s,1,01/01/2015,18:26:34,18
OR11748,786,ckn_pesto_m,1,01/01/2015,18:26:42,18
OR11848,116,green_garden_s,1,01/01/2015,18:26:42,18
OR11948,947,prsc_argla_l,1,01/01/2015,18:26:42,18
OR12048,413,spicy_ital_l,1,01/01/2015,18:26:42,18
OR12149,384,sicilian_l,1,01/01/2015,18:33:00,18
OR12250,954,the_greek_xl,1,01/01/2015,18:41:01,18
OR12351,37,bbq_ckn_l,1,01/01/2015,18:48:28,18
OR12451,549,pep_msh_pep_l,1,01/01/2015,18:48:28,18
OR12552,510,hawaiian_l,1,01/01/2015,18:53:02,18
OR12652,678,mexicana_l,1,01/01/2015,18:53:02,18
OR12752,382,spicy_ital_l,1,01/01/2015,18:53:02,18
OR12853,339,pep_msh_pep_s,1,01/01/2015,18:54:17,18
OR12953,1000,spinach_supr_m,1,01/01/2015,18:54:17,18
OR13054,143,prsc_argla_m,1,01/01/2015,19:01:45,19
OR13154,359,thai_ckn_l,1,01/01/2015,19:01:45,19
OR13255,970,peppr_salami_s,1,01/01/2015,19:03:19,19
OR13355,927,spicy_ital_l,1,01/01/2015,19:03:19,19
OR13456,721,classic_dlx_m,1,01/01/2015,19:07:00,19
OR13556,582,mediterraneo_l,1,01/01/2015,19:07:00,19
OR13656,639,southw_ckn_m,1,01/01/2015,19:07:00,19
OR13757,427,classic_dlx_m,1,01/01/2015,19:10:51,19
OR13858,691,five_cheese_l,1,01/01/2015,19:30:40,19
OR13958,923,pepperoni_m,1,01/01/2015,19:30:40,19
OR14059,699,ital_veggie_s,1,01/01/2015,19:40:08,19
OR14159,202,pep_msh_pep_s,1,01/01/2015,19:40:08,19
OR14259,224,pepperoni_l,1,01/01/2015,19:40:08,19
OR14360,745,ckn_pesto_l,1,01/01/2015,20:05:16,20
OR14460,649,four_cheese_m,1,01/01/2015,20:05:16,20
OR14561,543,bbq_ckn_m,1,01/01/2015,20:08:43,20
OR14661,890,ital_supr_l,1,01/01/2015,20:08:43,20
OR14762,184,bbq_ckn_m,1,01/01/2015,20:50:16,20
OR14862,869,spinach_supr_m,1,01/01/2015,20:50:16,20
OR14963,526,pep_msh_pep_m,1,01/01/2015,20:51:42,20
OR15064,425,big_meat_s,1,01/01/2015,20:52:08,20
OR15165,263,pep_msh_pep_s,1,01/01/2015,21:16:00,21
OR15265,745,sicilian_s,1,01/01/2015,21:16:00,21
OR15365,84,spicy_ital_s,1,01/01/2015,21:16:00,21
OR15465,715,spinach_supr_m,1,01/01/2015,21:16:00,21
OR15566,745,classic_dlx_m,1,01/01/2015,21:47:55,21
OR15666,587,ital_cpcllo_m,1,01/01/2015,21:47:55,21
OR15767,675,southw_ckn_l,1,01/01/2015,22:03:40,22
OR15868,750,classic_dlx_m,1,01/01/2015,22:07:32,22
OR15968,135,ital_supr_l,1,01/01/2015,22:07:32,22
OR16068,258,ital_supr_m,1,01/01/2015,22:07:32,22
OR16169,886,bbq_ckn_l,1,01/01/2015,22:12:13,22
OR16270,11,ital_veggie_s,1,02/01/2015,11:38:51,11
OR16370,844,soppressata_l,1,02/01/2015,11:38:51,11
OR16471,457,thai_ckn_l,1,02/01/2015,11:40:50,11
OR16572,591,spinach_fet_l,1,02/01/2015,11:57:25,11
OR16673,984,thai_ckn_s,1,02/01/2015,11:58:56,11
OR16774,567,five_cheese_l,1,02/01/2015,12:01:12,12
OR16874,149,mexicana_l,1,02/01/2015,12:01:12,12
OR16974,961,spin_pesto_s,1,02/01/2015,12:01:12,12
OR17074,902,spinach_supr_l,1,02/01/2015,12:01:12,12
OR17175,760,ital_supr_s,1,02/01/2015,12:10:15,12
OR17275,186,mediterraneo_l,1,02/01/2015,12:10:15,12
OR17375,785,napolitana_l,1,02/01/2015,12:10:15,12
OR17476,240,big_meat_s,1,02/01/2015,12:21:17,12
OR17576,853,hawaiian_l,1,02/01/2015,12:21:17,12
OR17676,395,ital_veggie_l,1,02/01/2015,12:21:17,12
OR17776,317,spicy_ital_l,1,02/01/2015,12:21:17,12
OR17877,436,bbq_ckn_m,1,02/01/2015,12:22:46,12
OR17977,974,hawaiian_m,1,02/01/2015,12:22:46,12
OR18078,682,big_meat_s,1,02/01/2015,12:28:14,12
OR18178,180,classic_dlx_s,1,02/01/2015,12:28:14,12
OR18278,267,four_cheese_l,1,02/01/2015,12:28:14,12
OR18378,715,ital_cpcllo_m,1,02/01/2015,12:28:14,12
OR18478,207,spicy_ital_l,3,02/01/2015,12:28:14,12
OR18578,308,thai_ckn_s,1,02/01/2015,12:28:14,12
OR18679,983,ital_cpcllo_l,1,02/01/2015,12:29:11,12
OR18779,197,pep_msh_pep_s,1,02/01/2015,12:29:11,12
OR18879,212,thai_ckn_l,1,02/01/2015,12:29:11,12
OR18980,330,pepperoni_s,1,02/01/2015,12:35:38,12
OR19080,325,thai_ckn_m,1,02/01/2015,12:35:38,12
OR19181,971,thai_ckn_l,1,02/01/2015,12:40:01,12
OR19282,629,big_meat_s,1,02/01/2015,12:45:51,12
OR19382,838,cali_ckn_m,1,02/01/2015,12:45:51,12
OR19482,911,spicy_ital_l,1,02/01/2015,12:45:51,12
OR19582,272,veggie_veg_m,1,02/01/2015,12:45:51,12
